,unique.drugid,CGP.drugid,CCLE.drugid,GSK.drugid,NCI60.drugid,GRAY.drugid,GNE.drugid,CTRP.drugid,CMAP.drugid,CTRPv2.drugid,gCSI.drugid,UHNBreast.drugid,MERCK.drugid,GDSC1000.drugid,NCIALM.drugid,YALE_TNBC.drugid,smiles,inchikey,cid,GDSC2019.drugid,FIMM.drugid,FDA,PharmacoDB.uid,PharmacoDB.drugid
12,Vorinostat,Vorinostat,NA,NA,Vorinostat,Vorinostat///SAHA,NA,vorinostat,vorinostat,vorinostat,vorinostat///Vorinostat,NA,NA,Vorinostat,NA,Vorinostat,C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO,WAEXFXRVDQXREF-UHFFFAOYSA-N,5311,Vorinostat,Vorinostat,TRUE,PDBC00012,Vorinostat
13,Nilotinib,Nilotinib,Nilotinib,NA,Nilotinib,Nilotinib,NA,NA,NA,nilotinib,Nilotinib,NA,NA,Nilotinib,NA,NA,CC1=C(C=C(C=C1)C(=O)NC2=CC(=CC(=C2)N3C=C(N=C3)C)C(F)(F)F)NC4=NC=CC(=N4)C5=CN=CC=C5,HHZIURLSWUIHRB-UHFFFAOYSA-N,644241,Nilotinib,Nilotinib,TRUE,PDBC00013,Nilotinib
14,Refametinib,RDEA119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RDEA119,NA,NA,COC1=CC(=C(C(=C1NS(=O)(=O)C2(CC2)CC(CO)O)NC3=C(C=C(C=C3)I)F)F)F,RDSACQWTXKSHJT-NSHDSACASA-N,44182295,Refametinib,Refametinib,NA,PDBC00014,RDEA119
15,CI-1040,CI-1040,NA,NA,NA,CI1040///PD184352,NA,NA,PHA-00816795,NA,NA,NA,NA,CI-1040,NA,NA,C1CC1CONC(=O)C2=C(C(=C(C=C2)F)F)NC3=C(C=C(C=C3)I)Cl,GFMMXOIFOQCCGU-UHFFFAOYSA-N,6918454,CI-1040,NA,NA,PDBC00015,CI-1040
16,Temsirolimus,Temsirolimus,NA,temsirolimus,Temsirolimus,Temsirolimus///Torisel,NA,NA,NA,temsirolimus,NA,NA,NA,Temsirolimus,NA,Temsirolimus,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)OC(=O)C(C)(CO)CO)C)C)O)OC)C)C)C)OC,CBPNZQVSJQDFBE-FUXHJELOSA-N,6918289,Temsirolimus,Temsirolimus,TRUE,PDBC00016,temsirolimus
17,Olaparib,AZD-2281,NA,NA,AZD-2281,NA,NA,olaparib,NA,olaparib,NA,OLA///olaparib,NA,Olaparib,NA,NA,C1CC1C(=O)N2CCN(CC2)C(=O)C3=C(C=CC(=C3)CC4=NNC(=O)C5=CC=CC=C54)F,FDLYAMZZIXQODN-UHFFFAOYSA-N,23725625,Olaparib,Olaparib,NA,PDBC00017,AZD-2281
18,Veliparib dihydrochloride,ABT-888,NA,NA,ABT-888,NA,NA,veliparib,NA,veliparib,NA,NA,ABT-888,Veliparib,NA,ABT-888,CC1(CCCN1)C2=NC3=C(C=CC=C3N2)C(=O)N,JNAHVYVRKWKWKQ-CYBMUJFWSA-N,11960529,Veliparib,NA,NA,PDBC00018,ABT-888
19,Bosutinib,Bosutinib,NA,NA,NA,Bosutinib///SKI-606,NA,NA,NA,bosutinib,Bosutinib,NA,NA,Bosutinib,NA,Bosutinib,CN1CCN(CC1)CCCOC2=C(C=C3C(=C2)N=CC(=C3NC4=CC(=C(C=C4Cl)Cl)OC)C#N)OC,UBPYILGKFZZVDX-UHFFFAOYSA-N,5328940,Bosutinib,Bosutinib,TRUE,PDBC00019,Bosutinib
20,Lenalidomide,Lenalidomide,NA,NA,Lenalidomide,NA,NA,lenalidomide,NA,NA,Lenalidomide,NA,NA,Lenalidomide,NA,NA,C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N,GOTYRUGSSMKFNF-UHFFFAOYSA-N,216326,Lenalidomide,Lenalidomide,TRUE,PDBC00020,lenalidomide
21,Axitinib,Axitinib,NA,NA,Axitinib,NA,NA,NA,NA,axitinib,NA,NA,NA,Axitinib,NA,NA,CNC(=O)C1=CC=CC=C1SC2=CC3=C(C=C2)C(=NN3)C=CC4=CC=CC=N4,RITAVMQDGBJQJZ-FMIVXFBMSA-N,6450551,Axitinib,Axitinib,TRUE,PDBC00021,Axitinib
22,AZD7762,AZD7762,NA,NA,NA,NA,NA,NA,NA,AZD7762,AZD-7762,NA,NA,AZD7762,NA,AZD-7762,C1CC(CNC1)NC(=O)C2=C(C=C(S2)C3=CC(=CC=C3)F)NC(=O)N,IAYGCINLNONXHY-LBPRGKRZSA-N,11152667,AZD7762,NA,NA,PDBC00022,AZD7762
23,GW 441756,GW 441756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GW 441756,NA,NA,Cn1cc(C=C2C(=O)Nc3cccnc23)c4ccccc14,NA,9943465,GW441756,NA,NA,PDBC00023,GW 441756
24,Lestaurtinib,CEP-701,NA,NA,NA,Lestaurtinib(CEP-701)///Lestaurtinib,NA,NA,NA,NA,NA,NA,NA,CEP-701,NA,NA,NA,NA,126565,Lestaurtinib,Lestaurtinib,NA,PDBC00024,CEP-701
25,SB 216763,SB 216763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SB 216763,NA,NA,Cn1cc(C2=C(C(=O)NC2=O)c3ccc(Cl)cc3Cl)c4ccccc14,NA,176158,SB216763,NA,NA,PDBC00025,SB 216763
26,Tanespimycin,17-AAG,17-AAG,NA,17-AAG,17-AAG,NA,tanespimycin,tanespimycin,tanespimycin,17-AAG,NA,NA,17-AAG,NA,NA,CC1CC(C(C(C=C(C(C(C=CC=C(C(=O)NC2=CC(=O)C(=C(C1)C2=O)NCC=C)C)OC)OC(=O)N)C)C)O)OC,AYUNIORJHRXIBJ-TXHRRWQRSA-N,6505803,Tanespimycin,Tanespimycin,NA,PDBC00026,17-AAG
27,VX-702,VX-702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,VX-702,NA,NA,C1=CC(=C(C(=C1)F)N(C2=NC(=C(C=C2)C(=O)N)C3=C(C=C(C=C3)F)F)C(=O)N)F,FYSRKRZDBHOFAY-UHFFFAOYSA-N,10341154,VX-702,NA,NA,PDBC00027,VX-702
28,Motesanib,AMG-706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AMG-706,NA,NA,CC1(CNC2=C1C=CC(=C2)NC(=O)C3=C(N=CC=C3)NCC4=CC=NC=C4)C,RAHBGWKEPAQNFF-UHFFFAOYSA-N,11667893,Motesanib,Motesanib,NA,PDBC00028,AMG-706
29,KU-55933,KU-55933,NA,NA,NA,NA,NA,NA,NA,KU-55933,NA,NA,NA,KU-55933,NA,NA,C1COCCN1C2=CC(=O)C=C(O2)C3=C4C(=CC=C3)SC5=CC=CC=C5S4,XRKYMMUGXMWDAO-UHFFFAOYSA-N,5278396,KU-55933,NA,NA,PDBC00029,KU-55933
30,Elesclomol,Elesclomol,NA,NA,Elesclomol,NA,NA,NA,NA,NA,NA,NA,NA,Elesclomol,NA,STA-4783,CN(C(=S)C1=CC=CC=C1)NC(=O)CC(=O)NN(C)C(=S)C2=CC=CC=C2,BKJIXTWSNXCKJH-UHFFFAOYSA-N,300471,Elesclomol,NA,NA,PDBC00030,Elesclomol
31,Afatinib,BIBW2992,NA,NA,BIBW2992,BIBW2992,NA,NA,NA,afatinib,NA,NA,NA,Afatinib,NA,BIBW-2992,CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4,ULXXDDBFHOBEHA-CWDCEQMOSA-N,10184653,Afatinib,Afatinib,NA,PDBC00031,BIBW2992
32,Vismodegib,GDC-0449,NA,NA,GDC-0449,NA,NA,vismodegib,NA,NA,NA,NA,NA,GDC0449,Vismodegib,Vismodegib,CS(=O)(=O)C1=CC(=C(C=C1)C(=O)NC2=CC(=C(C=C2)Cl)C3=CC=CC=N3)Cl,BPQMGSKTAYIVFO-UHFFFAOYSA-N,24776445,Vismodegib,Vismodegib,NA,PDBC00032,GDC-0449
33,PLX4720,PLX4720,PLX4720,NA,NA,NA,NA,NA,NA,PLX-4720,PLX-4720,NA,NA,PLX4720,NA,NA,CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)C(=O)C2=CNC3=NC=C(C=C23)Cl)F,YZDJQTHVDDOVHR-UHFFFAOYSA-N,24180719,PLX-4720,NA,NA,PDBC00033,PLX4720
34,BX-795,BX-795,NA,NA,NA,NA,NA,BX-795,NA,NA,NA,NA,NA,BX-795,NA,NA,C1CCN(C1)C(=O)NC2=CC=CC(=C2)NC3=NC=C(C(=N3)NCCCNC(=O)C4=CC=CS4)I,VAVXGGRQQJZYBL-UHFFFAOYSA-N,10077147,BX795,NA,NA,PDBC00034,BX-795
35,NU-7441,NU-7441,NA,NA,NA,NA,NA,NA,NA,NA,NU 7441///NU7441,NA,NA,NU-7441,NA,NA,C1COCCN1C2=CC(=O)C3=C(O2)C(=CC=C3)C4=CC=CC5=C4SC6=CC=CC=C56,JAMULYFATHSZJM-UHFFFAOYSA-N,11327430,NU7441,NA,NA,PDBC00035,NU-7441
36,SL 0101-1,SL 0101-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SL 0101-1,NA,NA,NA,NA,46782929,SL0101,NA,NA,PDBC00036,SL 0101-1
37,Bortezomib,Bortezomib,NA,NA,Bortezomib,Bortezomib///Bortezomib-batch2///Bortezomib-batch1///Velcade,NA,bortezomib,NA,bortezomib,bortezomib///Bortezomib,NA,Bortezomib,Bortezomib,NA,Bortezomib,B(C(CC(C)C)NC(=O)C(CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,GXJABQQUPOEUTA-RDJZCZTQSA-N,387447,Bortezomib,Bortezomib,TRUE,PDBC00037,Bortezomib
38,Doramapimod,BIRB 0796,NA,NA,NA,NA,NA,NA,NA,BIRB-796,NA,NA,NA,BIRB 0796,NA,NA,NA,NA,NA,Doramapimod,Doramapimod,NA,PDBC00038,BIRB 0796
39,JNK Inhibitor VIII,JNK Inhibitor VIII,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,JNK Inhibitor VIII,NA,NA,NA,NA,11624601,JNK Inhibitor VIII,NA,NA,PDBC00039,JNK Inhibitor VIII
40,681640,681640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,681640,NA,NA,NA,NA,NA,Wee1 Inhibitor,NA,NA,PDBC00040,681640
41,Nutlin-3,Nutlin-3a,Nutlin-3,NA,Nutlin-3,Nutlin 3a///Nutlin-3///private_company_drug_2498,NA,nutlin-3,NA,nutlin-3,NA,NA,NA,NA,NA,Nutlin-3,CC(C)OC1=C(C=CC(=C1)OC)C2=NC(C(N2C(=O)N3CCNC(=O)C3)C4=CC=C(C=C4)Cl)C5=CC=C(C=C5)Cl,BDUHCSBCVGXTJM-UHFFFAOYSA-N,216345,NA,NA,NA,PDBC00041,Nutlin-3
42,PD 173074,PD-173074,NA,NA,NA,PD173074,PD173074,NA,NA,NA,NA,NA,NA,PD-173074,NA,PD173074,CCN(CC)CCCCNC1=NC2=NC(=C(C=C2C=N1)C3=CC(=CC(=C3)OC)OC)NC(=O)NC(C)(C)C,DXCUKNQANPLTEJ-UHFFFAOYSA-N,1401,PD173074,NA,NA,PDBC00042,PD173074
43,ZM-447439,ZM-447439,NA,NA,NA,ZM447439,NA,NA,NA,NA,NA,NA,NA,ZM-447439,NA,NA,COC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=C(C=C3)NC(=O)C4=CC=CC=C4)OCCCN5CCOCC5,OGNYUTNQZVRGMN-UHFFFAOYSA-N,9914412,ZM447439,NA,NA,PDBC00043,ZM-447439
44,RO-3306,RO-3306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RO-3306,NA,NA,C1=CC2=C(C=CC(=C2)C=C3C(=O)N=C(S3)NCC4=CC=CS4)N=C1,XOLMRFUGOINFDQ-UHFFFAOYSA-N,71433937,RO-3306,NA,NA,PDBC00044,RO-3306
45,MK-2206,MK-2206,NA,NA,NA,NA,NA,MK-2206,NA,MK-2206,MK-2206,NA,MK-2206,MK-2206,NA,MK-2206,C1CC(C1)(C2=CC=C(C=C2)C3=C(C=C4C(=N3)C=CN5C4=NNC5=O)C6=CC=CC=C6)N.Cl.Cl,HWUHTJIKQZZBRA-UHFFFAOYSA-N,46930998,MK-2206,NA,NA,PDBC00045,MK-2206
46,Palbociclib,PD-0332991,PD-0332991,NA,NA,NA,NA,NA,NA,NA,Palbociclib,NA,NA,PD-0332991,NA,PD-0332991,CC1=C(C(=O)N(C2=NC(=NC=C12)NC3=NC=C(C=C3)N4CCNCC4)C5CCCC5)C(=O)C,AHJRHEGDXFFMBM-UHFFFAOYSA-N,5330286,Palbociclib,Palbociclib,NA,PDBC00046,PD-0332991
47,Dactolisib,NVP-BEZ235,NA,BEZ.235,NVP-BEZ235,BEZ235,NA,BEZ235,NA,NVP-BEZ235,NA,NA,BEZ-235,BEZ235,NA,BEZ-235,CC(C)(C#N)C1=CC=C(C=C1)N2C3=C4C=C(C=CC4=NC=C3N(C2=O)C)C5=CC6=CC=CC=C6N=C5,JOGKUKXHTYWRGZ-UHFFFAOYSA-N,11977753,Dactolisib,NA,NA,PDBC00047,NVP-BEZ235
48,Pictilisib,GDC0941,NA,NA,NA,NA,GDC-0941,NA,NA,GDC-0941,gdc0941///GDC-0941,NA,NA,GDC0941,NA,GDC-0941,CS(=O)(=O)N1CCN(CC1)CC2=CC3=C(S2)C(=NC(=N3)C4=C5C=NNC5=CC=C4)N6CCOCC6,LHNIIDJUOCFXAP-UHFFFAOYSA-N,17755052,Pictilisib,Pictilisib,NA,PDBC00048,GDC-0941
49,AZD8055,AZD8055,NA,NA,NA,NA,NA,NA,NA,AZD8055,AZD-8055,NA,NA,AZD8055,NA,NA,CC1COCCN1C2=NC(=NC3=C2C=CC(=N3)C4=CC(=C(C=C4)OC)CO)N5CCOCC5C,KVLFRAWTRWDEDF-IRXDYDNUSA-N,25262965,AZD8055,NA,NA,PDBC00049,AZD8055
50,XMD8-85,XMD8-85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,XMD8-85,NA,NA,COc1cc(ccc1Nc1ncc2N(C)C(=O)c3ccccc3N(C)c2n1)N1CCN(C)CC1,NA,NA,XMD8-85,NA,NA,PDBC00050,XMD8-85
51,PD-0325901,PD-0325901,PD-0325901,NA,NA,NA,NA,NA,0317956-0000,NA,pd0325901,NA,PD325901,PD-0325901,NA,NA,C1=CC(=C(C=C1I)F)NC2=C(C=CC(=C2F)F)C(=O)NOCC(CO)O,SUDAHWBOROXANE-SECBINFHSA-N,9826528,PD0325901,NA,NA,PDBC00051,PD-0325901
52,SB590885,SB590885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SB590885,NA,NA,CN(C)CCOC1=CC=C(C=C1)C2=NC(=C3C=CC4=C(CCC4=C3)N=O)C(=C5C=CNC=C5)N2,DPCXEUSDRQOOGZ-QLYXXIJNSA-N,11316960,SB590885,NA,NA,PDBC00052,SB590885
53,Selumetinib,AZD6244,AZD6244,NA,AZD6244,AZD6244,NA,selumetinib,NA,selumetinib,NA,AZD6244,NA,selumetinib,NA,NA,CN1C=NC2=C1C=C(C(=C2F)NC3=C(C=C(C=C3)Br)Cl)C(=O)NOCCO,CYOHGALHFOKKQC-UHFFFAOYSA-N,10127622,Selumetinib,Selumetinib,NA,PDBC00053,AZD6244
54,AZD6482,AZD6482,NA,NA,NA,NA,NA,NA,NA,AZD6482,NA,NA,NA,AZD6482,NA,NA,CC1=CN2C(=O)C=C(N=C2C(=C1)C(C)NC3=CC=CC=C3C(=O)O)N4CCOCC4,IRTDIKMSKMREGO-OAHLLOKOSA-N,44137675,AZD6482,NA,NA,PDBC00054,AZD6482
55,CCT007093,CCT007093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CCT007093,NA,NA,C1CC(=CC2=CC=CS2)C(=O)C1=CC3=CC=CS3,KPFZCKDPBMGECB-WGDLNXRISA-N,2314623,CCT007093,NA,NA,PDBC00055,CCT007093
56,EHT 1864,EHT 1864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EHT 1864,NA,EHT-1864,NA,NA,9938202,EHT-1864,NA,NA,PDBC00056,EHT 1864
57,Avagacestat,BMS-708163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BMS-708163,NA,NA,C1=CC(=CC=C1S(=O)(=O)N(CC2=C(C=C(C=C2)C3=NOC=N3)F)C(CCC(F)(F)F)C(=O)N)Cl,XEAOPVUAMONVLA-QGZVFWFLSA-N,46883536,Avagacestat,NA,NA,PDBC00057,BMS-708163
58,Paclitaxel,Paclitaxel,Paclitaxel,paclitaxel,Paclitaxel,Paclitaxel,NA,NA,paclitaxel,paclitaxel,paclitaxel///Paclitaxel,paclitaxel,Paclitaxel,Paclitaxel,NA,Paclitaxel,CC(=O)O[C@@H]1C2=C(C)[C@H](C[C@@](O)([C@@H](OC(=O)c3ccccc3)[C@@H]4[C@@]5(CO[C@@H]5C[C@H](O)[C@@]4(C)C1=O)OC(=O)C)C2(C)C)OC(=O)[C@H](O)[C@@H](NC(=O)c6ccccc6)c7ccccc7,RCINICONZNJXQF-MZXODVADSA-N,36314,Paclitaxel,Paclitaxel,TRUE,PDBC00058,paclitaxel
59,Seliciclib,Roscovitine,NA,NA,Roscovitine,NA,NA,NA,NA,NA,NA,NA,NA,Roscovitine,NA,NA,CCC(CO)NC1=NC2=C(C(=N1)NCC3=CC=CC=C3)N=CN2C(C)C,BTIHMVBBUGXLCJ-OAHLLOKOSA-N,160355,Seliciclib,Seliciclib,NA,PDBC00059,Roscovitine
60,Salubrinal,Salubrinal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Salubrinal,NA,NA,C1=CC=C(C=C1)C=CC(=O)NC(C(Cl)(Cl)Cl)NC(=S)NC2=CC=CC3=C2N=CC=C3,LCOIAYJMPKXARU-VAWYXSNFSA-N,5717801,Salubrinal,NA,NA,PDBC00060,Salubrinal
61,PF-4708671,PF-4708671,NA,NA,NA,NA,NA,NA,NA,NA,PF-4708671,NA,NA,PF-4708671,NA,NA,CCC1=CN=CN=C1N2CCN(CC2)CC3=NC4=C(N3)C=C(C=C4)C(F)(F)F,FBLPQCAQRNSVHB-UHFFFAOYSA-N,51371303,PF-4708671,NA,NA,PDBC00061,PF-4708671
62,Serdemetan,JNJ-26854165,NA,NA,NA,NA,NA,serdemetan,NA,serdemetan,NA,NA,NA,JNJ-26854165,NA,NA,C1=CC=C2C(=C1)C(=CN2)CCNC3=CC=C(C=C3)NC4=CC=NC=C4,CEGSUKYESLWKJP-UHFFFAOYSA-N,11609586,Serdemetan,Serdemetan,NA,PDBC00062,JNJ-26854165
63,TW 37,TW 37,NA,NA,NA,NA,NA,TW-37,NA,TW-37,NA,NA,NA,TW 37,NA,NA,CC(C)C1=CC=CC=C1CC2=C(C(=C(C(=C2)C(=O)NC3=CC=C(C=C3)S(=O)(=O)C4=CC=CC=C4C(C)(C)C)O)O)O,PQAPVTKIEGUPRN-UHFFFAOYSA-N,11455910,TW 37,NA,NA,PDBC00063,TW 37
64,CCT018159,CCT018159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CCT018159,NA,NA,CCC1=CC(=C2C(=C(NN2)C)C3=CC4=C(C=C3)OCCO4)C(=O)C=C1O,BBTMGPQSLSYPHE-ZHZULCJRSA-N,5327091,CCT-018159,NA,NA,PDBC00064,CCT018159
65,Rucaparib phosphate,AG-014699,NA,NA,NA,NA,NA,rucaparib,NA,NA,NA,NA,NA,AG-014699,NA,NA,CNCC1=CC=C(C=C1)C2=C3CCNC(=O)C4=CC(=CC(=C34)N2)F.OP(=O)(O)O,FCCGJTKEKXUBFZ-UHFFFAOYSA-N,9931953,Rucaparib,NA,NA,PDBC00065,AG-014699
66,Lapatinib,Lapatinib,Lapatinib,lapatinib,N-{3-Chloro-4-[(3-fluorobenzyl)oxy]phenyl}-6-[5-({[2-(methylsulfonyl)ethyl]amino}methyl)-2-furyl]-4-quinazolinamine,Lapatinib///private_company_drug_2643,NA,NA,NA,lapatinib,lapatinib///Lapatinib,lapatinib,Lapatinib,Lapatinib,NA,Lapatinib,CS(=O)(=O)CCNCC1=CC=C(O1)C2=CC3=C(C=C2)N=CN=C3NC4=CC(=C(C=C4)OCC5=CC(=CC=C5)F)Cl,BCFGMOOMADDAQU-UHFFFAOYSA-N,208908,Lapatinib,Lapatinib,TRUE,PDBC00066,lapatinib
67,Aminofurazanyl-azabenzimidazole 6n,GSK269962A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GSK269962A,NA,NA,CCN1C2=CC(=NC=C2N=C1C3=NON=C3N)OC4=CC=CC(=C4)NC(=O)C5=CC=C(C=C5)OCCN6CCOCC6,YOVNFNXUCOWYSG-UHFFFAOYSA-N,16095342,GSK269962A,NA,NA,PDBC00067,GSK269962A
68,Doxorubicin,Doxorubicin,NA,NA,Doxorubicin,Doxorubicin///Doxorubicin(FD),NA,NA,doxorubicin,doxorubicin,doxorubicin,NA,Doxorubicin,Doxorubicin,NA,NA,CC1C(C(CC(O1)OC2CC(CC3=C(C4=C(C(=C23)O)C(=O)C5=C(C4=O)C=CC=C5OC)O)(C(=O)CO)O)N)O.Cl,MWWSFMDVAYGXBV-FGBJBKNOSA-N,32874,Doxorubicin,Doxorubicin,TRUE,PDBC00068,Doxorubicin
69,Etoposide,Etoposide,NA,NA,Etoposide,Etoposide,NA,etoposide,etoposide,etoposide,Etoposide,NA,Etoposide,Etoposide,NA,Etoposide,COc1cc(cc(OC)c1O)[C@H]2[C@@H]3C(COC3=O)C(OC4OC5COC(C)OC5C(O)C4O)c6cc7OCOc7cc26,VJJPUSNTGOMMGY-MRVIYFEKSA-N,36462,Etoposide,NA,TRUE,PDBC00069,etoposide
70,Gemcitabine,Gemcitabine,NA,NA,Gemcitabine,Gemcitabine,NA,gemcitabine,NA,gemcitabine,gemcitabine///Gemcitabine,NA,Gemcitabine,Gemcitabine,NA,Gemcitabine,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)(F)F.Cl,OKKDEIYWILRZIA-UHFFFAOYSA-N,356653,Gemcitabine,NA,TRUE,PDBC00070,Gemcitabine
